Name,Location,Year,Kilometers_Driven,Owner_Type,Engine_CC,Power_bhp,Seats,Selling_Price_Lakh,Mileage_kmpl,Fuel_Type_Petrol,Transmission_Manual,Car_Age,Kms_per_Year,Is_Luxury,Price_per_bhp
Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,First,1197,78.9,5.0,3.48,16.95,True,False,13,3475.23,False,0.04
Nissan Terrano XV D Pre,Kochi,2015,56066,First,1461,108.5,5.0,6.92,19.64,False,True,10,5606.6,False,0.06
Honda Brio VX AT,Coimbatore,2016,37300,Second,1198,86.8,5.0,6.46,16.5,True,False,9,4144.44,False,0.07
Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,Second,1968,187.74,5.0,29.5,18.53,False,False,11,5090.91,True,0.16
Toyota Innova 2.0 G1,Chennai,2006,230000,Third,1998,132.0,8.0,4.5,12.4,True,True,19,12105.26,False,0.03
Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000,First,2494,102.0,7.0,11.75,12.8,False,True,13,8000.0,False,0.12
Maruti Swift VDI,Jaipur,2012,95100,First,1248,74.0,5.0,3.75,22.9,False,True,13,7315.38,False,0.05
Tata Zest Revotron 1.2T XE,Pune,2017,70000,First,1193,88.7,5.0,4.5,17.57,True,True,8,8750.0,False,0.05
Honda Amaze SX i-VTEC,Kochi,2016,54944,First,1198,86.7,5.0,4.82,18.0,True,True,9,6104.89,False,0.06
Ford Figo Diesel ZXI,Hyderabad,2012,70337,First,1399,68.0,5.0,2.8,20.0,False,True,13,5410.54,False,0.04
Maruti Ritz VDi,Jaipur,2013,99638,First,1248,73.94,5.0,3.11,23.2,False,True,12,8303.17,False,0.04
Honda City i VTEC E,Delhi,2009,52000,First,1497,117.3,5.0,3.25,17.8,True,True,16,3250.0,False,0.03
BMW 5 Series 2003-2012 525d,Delhi,2011,75000,Second,1995,218.0,5.0,13.9,16.73,False,False,14,5357.14,True,0.06
Hyundai i10 Sportz 1.2,Pune,2009,95980,First,1197,78.9,5.0,2.25,20.36,True,True,16,5998.75,False,0.03
Hyundai Grand i10 Sportz,Bangalore,2016,16000,First,1197,82.0,5.0,5.75,18.9,True,True,9,1777.78,False,0.07
Honda Amaze SX i-VTEC,Mumbai,2016,18949,First,1198,86.7,5.0,5.0,17.8,True,True,9,2105.44,False,0.06
Toyota Fortuner 4x2 Manual,Delhi,2014,107000,First,2982,168.5,7.0,16.5,13.0,False,True,11,9727.27,False,0.1
Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,First,1968,174.33,5.0,39.58,17.68,False,False,7,6909.57,True,0.23
Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,First,1498,89.84,5.0,5.5,22.7,False,True,12,4750.0,False,0.06
Mahindra XUV500 W8 2WD,Delhi,2014,58000,First,2179,140.0,7.0,8.1,15.1,False,True,11,5272.73,False,0.06
Honda Amaze SX i-DTEC,Kolkata,2015,30000,First,1498,98.6,5.0,3.5,25.8,False,True,10,3000.0,False,0.04
Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,First,1199,73.9,5.0,2.79,22.07,False,True,12,2851.0,False,0.04
Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002,First,1493,110.0,5.0,3.45,16.2,False,True,15,4666.8,False,0.03
Maruti Wagon R VXI BS IV,Bangalore,2016,62000,First,998,67.1,5.0,4.45,18.9,True,True,9,6888.89,False,0.07
Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,First,1598,103.5,5.0,2.65,15.26,True,True,15,4133.4,False,0.03
Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,Second,1396,90.0,5.0,3.8,23.0,False,True,14,5639.86,False,0.04
Hyundai i20 Asta 1.2,Mumbai,2014,30180,First,1197,82.85,5.0,4.65,18.5,True,True,11,2743.64,False,0.06
Datsun GO Plus T Petrol,Pune,2017,32851,First,1198,67.0,7.0,3.95,19.83,True,True,8,4106.38,False,0.06
Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000,First,2967,241.4,5.0,9.8,14.94,False,False,15,2000.0,True,0.04
Hyundai i20 2015-2017 Asta,Pune,2009,66000,Second,1197,80.0,5.0,2.7,17.0,True,True,16,4125.0,False,0.03
Maruti Omni 5 Str STD,Coimbatore,2010,93850,First,796,35.0,5.0,2.41,14.0,True,True,15,6256.67,False,0.07
Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,First,1197,78.9,5.0,3.9,17.71,True,True,11,4818.18,False,0.05
Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,Second,2993,270.9,5.0,24.0,14.74,False,False,14,5571.43,True,0.09
Mahindra XUV500 W8 2WD,Delhi,2012,65000,Second,2179,140.0,7.0,5.75,16.0,False,True,13,5000.0,False,0.04
Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,First,1582,126.32,5.0,5.25,22.32,False,False,11,3636.36,False,0.04
Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,First,2755,171.5,7.0,19.25,11.36,False,False,8,3750.0,False,0.11
Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,First,1196,73.0,5.0,3.91,15.1,True,True,8,4756.62,False,0.05
Tata Nano Twist XT,Bangalore,2014,25500,First,624,37.5,4.0,2.15,25.4,True,True,11,2318.18,False,0.06
BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,First,1995,190.0,5.0,20.75,22.69,False,False,10,5608.7,True,0.11
Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088,First,1799,130.0,5.0,3.35,13.5,True,True,15,4739.2,False,0.03
Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000,First,2494,100.6,7.0,11.11,12.99,False,True,11,5000.0,False,0.11
Volvo V40 Cross Country D3,Bangalore,2014,32700,First,1984,150.0,5.0,20.0,23.3,False,False,11,2972.73,True,0.13
Nissan Micra XV CVT,Coimbatore,2016,39882,First,1198,75.94,5.0,6.55,19.15,True,False,9,4431.33,False,0.09
BMW 5 Series 2010-2013 525i,Mumbai,2009,128000,First,2497,215.0,5.0,7.0,10.8,True,False,16,8000.0,True,0.03
Maruti Vitara Brezza VDi,Mumbai,2016,55000,First,1248,88.5,5.0,7.5,24.3,False,True,9,6111.11,False,0.08
Mercedes-Benz B Class B200 CDI,Pune,2014,53753,Second,2143,107.3,5.0,16.75,15.0,False,False,11,4886.64,True,0.16
Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,First,1582,126.2,5.0,10.95,22.0,False,True,7,1464.29,False,0.09
Maruti Wagon R LXI BS IV,Pune,2011,43874,First,998,67.1,5.0,2.45,18.9,True,True,14,3133.86,False,0.04
Tata Nano XTA,Coimbatore,2017,32684,First,624,37.48,4.0,3.23,21.9,True,False,8,4085.5,False,0.09
Mahindra Scorpio VLX,Kolkata,2014,42000,First,2179,120.0,8.0,7.75,12.05,False,True,11,3818.18,False,0.06
Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352,First,1796,178.0,5.0,9.35,11.7,True,False,16,1772.0,True,0.05
Honda CR-V 2.4 MT,Bangalore,2007,47700,Second,2354,152.0,5.0,5.25,10.8,True,True,18,2650.0,False,0.03
Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,First,1498,103.2,5.0,7.25,21.21,False,False,10,5500.0,False,0.07
Maruti Ciaz VXi Plus,Kochi,2017,44285,First,1373,91.1,5.0,7.47,20.73,True,True,8,5535.62,False,0.08
Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000,First,2179,140.0,7.0,13.25,16.0,False,False,9,6000.0,False,0.09
Maruti Ritz VXI ABS,Coimbatore,2016,30232,First,1197,85.8,5.0,5.81,21.1,True,True,9,3359.11,False,0.07
Maruti Alto K10 VXI,Hyderabad,2014,88500,First,998,67.1,5.0,2.6,24.07,True,True,11,8045.45,False,0.04
Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,First,2996,362.07,2.0,54.0,19.0,True,False,8,1671.5,True,0.15
Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,First,1591,121.3,5.0,11.5,17.0,True,False,6,2107.5,False,0.09
Maruti Alto LXi BSIII,Chennai,2010,94385,Second,796,46.3,5.0,1.6,19.7,True,True,15,6292.33,False,0.03
BMW 1 Series 118d Base,Coimbatore,2015,31821,First,1995,143.0,5.0,17.22,20.58,False,False,10,3182.1,True,0.12
Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000,First,1199,88.7,5.0,6.0,19.0,True,False,10,1200.0,False,0.07
Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578,First,1799,130.0,5.0,3.95,13.5,True,True,13,6813.69,False,0.03
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965,First,2143,170.0,5.0,17.95,19.27,False,False,11,4087.73,True,0.11
Honda Amaze SX i-DTEC,Kolkata,2014,45044,First,1498,98.6,5.0,3.7,25.8,False,True,11,4094.91,False,0.04
Maruti Swift VVT VXI,Kochi,2016,34204,First,1197,81.8,5.0,5.43,22.0,True,True,9,3800.44,False,0.07
Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,First,2982,171.0,7.0,13.49,11.5,False,True,13,7018.08,False,0.08
Chevrolet Beat LT Option,Pune,2014,38800,First,1199,76.8,5.0,2.85,18.6,True,True,11,3527.27,False,0.04
Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000,First,1498,103.52,5.0,4.75,21.14,False,True,12,6916.67,False,0.05
Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,First,1373,91.1,5.0,9.9,20.73,True,True,7,5897.57,False,0.11
Audi RS5 Coupe,Mumbai,2013,23000,First,2894,444.0,4.0,37.0,11.05,True,False,12,1916.67,True,0.08
BMW 3 Series Luxury Line,Mumbai,2014,48000,First,1995,190.0,5.0,26.5,21.76,False,False,11,4363.64,True,0.14
Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,48214,First,1968,174.33,5.0,23.32,17.11,False,False,10,4821.4,True,0.13
Maruti Swift VDI,Chennai,2016,35000,First,1248,74.0,5.0,6.25,22.9,False,True,9,3888.89,False,0.08
Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,35277,First,5461,362.9,5.0,30.0,7.81,True,False,15,2351.8,True,0.08
Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,54620,First,1498,103.52,5.0,9.86,21.66,False,False,9,6068.89,False,0.1
Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,136997,First,1968,138.1,5.0,8.5,17.2,False,False,13,10538.23,False,0.06
Hyundai EON Magna Plus,Kochi,2019,14322,First,814,55.2,5.0,4.23,21.1,True,True,6,2387.0,False,0.08
Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,65634,First,1199,73.9,5.0,3.5,22.07,False,True,13,5048.77,False,0.05
Datsun GO NXT,Kolkata,2016,6000,First,1198,67.06,5.0,2.5,20.63,True,True,9,666.67,False,0.04
Honda Brio S MT,Kolkata,2013,33280,First,1198,86.8,5.0,2.39,19.4,True,True,12,2773.33,False,0.03
Mercedes-Benz B Class B180,Delhi,2013,29000,First,1595,120.7,5.0,11.25,14.8,True,False,12,2416.67,True,0.09
Honda City i DTEC V,Kochi,2015,42831,First,1498,98.6,5.0,7.11,26.0,False,True,10,4283.1,False,0.07
Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2016,90000,First,2494,100.6,7.0,10.9,12.99,False,True,9,10000.0,False,0.11
Maruti Swift VXI Optional,Ahmedabad,2017,24005,First,1197,81.8,5.0,6.2,20.4,True,True,8,3000.62,False,0.08
Mahindra XUV500 W8 2WD,Mumbai,2012,32792,First,2179,140.0,7.0,7.9,15.1,False,True,13,2522.46,False,0.06
Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,147898,First,1498,89.84,5.0,4.42,22.7,False,True,11,13445.27,False,0.05
Toyota Fortuner 4x2 Manual,Mumbai,2012,131765,First,2982,168.5,7.0,13.5,13.0,False,True,13,10135.77,False,0.08
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2013,65000,First,1498,108.5,5.0,6.25,21.5,False,False,12,5416.67,False,0.06
Ford Figo Diesel Titanium,Jaipur,2010,66123,Second,1399,68.0,5.0,2.1,20.0,False,True,15,4408.2,False,0.03
BMW X5 xDrive 30d,Mumbai,2015,41000,First,2993,258.0,5.0,45.0,15.3,False,False,10,4100.0,True,0.17
Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,2017,23550,First,2143,167.62,5.0,33.66,19.27,False,False,8,2943.75,True,0.2
Honda Brio V MT,Bangalore,2012,45000,Second,1198,86.8,5.0,3.65,19.4,True,True,13,3461.54,False,0.04
Hyundai i10 Magna 1.2,Delhi,2013,60000,First,1197,78.9,5.0,2.75,20.36,True,True,12,5000.0,False,0.03
Mercedes-Benz GLC 220,Bangalore,2016,44414,First,2143,170.0,5.0,42.5,17.9,False,False,9,4934.89,True,0.25
Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,1000,First,1197,81.86,5.0,6.5,18.9,True,True,6,166.67,False,0.08
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2012,62500,Second,1968,174.33,5.0,19.0,17.68,False,False,13,4807.69,True,0.11
Volkswagen Vento Petrol Highline AT,Mumbai,2013,21000,Second,1598,103.6,5.0,4.45,14.4,True,False,12,1750.0,False,0.04
Mini Countryman Cooper D,Jaipur,2017,8525,Second,1998,112.0,5.0,23.0,16.6,False,False,8,1065.62,False,0.21
Hyundai i20 Asta 1.4 CRDi,Bangalore,2014,29000,First,1396,88.73,5.0,8.35,22.54,False,True,11,2636.36,False,0.09
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2014,40000,First,1968,174.33,5.0,22.95,17.68,False,False,11,3636.36,True,0.13
Chevrolet Beat Diesel LT,Jaipur,2012,88000,First,936,57.6,5.0,1.5,25.44,False,True,13,6769.23,False,0.03
Skoda Superb Elegance 1.8 TSI AT,Kochi,2012,53537,First,1798,157.75,5.0,6.89,13.7,True,False,13,4118.23,False,0.04
Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,2006,216000,Second,1399,68.0,5.0,1.45,17.8,False,True,19,11368.42,False,0.02
BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,First,1995,190.0,5.0,33.5,22.48,False,False,11,4636.36,True,0.18
Chevrolet Optra Magnum 1.6 LS BS3,Jaipur,2007,118500,First,1598,102.5,5.0,1.25,12.9,True,True,18,6583.33,False,0.01
Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,63000,First,1199,73.9,5.0,4.2,22.07,False,True,13,4846.15,False,0.06
Renault Lodgy 110PS RxZ 8 Seater,Mumbai,2015,25000,First,1461,108.5,8.0,6.75,19.98,False,True,10,2500.0,False,0.06
Mercedes-Benz E-Class E250 CDI Avantgrade,Bangalore,2014,37382,First,2143,201.1,5.0,32.0,13.0,False,False,11,3398.36,True,0.16
Maruti Baleno Alpha,Kochi,2017,24773,First,1197,83.1,5.0,7.5,21.4,True,True,8,3096.62,False,0.09
Hyundai Verna 1.6 SX,Delhi,2012,62000,First,1582,126.32,5.0,4.6,22.32,False,True,13,4769.23,False,0.04
Hyundai i10 Magna 1.1,Kochi,2017,52340,First,1086,68.05,5.0,4.04,19.81,True,True,8,6542.5,False,0.06
Mahindra Scorpio 1.99 S10 4WD,Kochi,2016,56739,First,1997,120.0,7.0,10.31,15.4,False,True,9,6304.33,False,0.09
Land Rover Range Rover 2.2L Dynamic,Coimbatore,2018,36091,First,2179,187.7,5.0,55.76,12.7,False,False,7,5155.86,True,0.3
Ford Figo Diesel ZXI,Chennai,2010,120000,First,1399,68.0,5.0,2.6,20.0,False,True,15,8000.0,False,0.04
Maruti Ertiga ZDI,Mumbai,2016,33000,First,1248,88.5,7.0,8.5,25.47,False,True,9,3666.67,False,0.1
Honda Amaze S i-Dtech,Kolkata,2014,52000,First,1498,98.6,5.0,3.5,25.8,False,True,11,4727.27,False,0.04
Hyundai i10 Magna,Jaipur,2015,43571,First,1197,78.9,5.0,3.55,20.36,True,True,10,4357.1,False,0.04
Honda Amaze S i-Dtech,Kolkata,2013,50000,First,1498,98.6,5.0,3.25,25.8,False,True,12,4166.67,False,0.03
Skoda Laura Ambiente,Hyderabad,2008,113000,First,1896,106.0,5.0,4.5,17.5,False,True,17,6647.06,False,0.04
Renault Duster 85PS Diesel RxL,Delhi,2014,90000,First,1461,83.8,5.0,5.35,19.87,False,True,11,8181.82,False,0.06
Mahindra NuvoSport N6,Chennai,2017,29000,Second,1493,100.0,7.0,6.5,17.45,False,True,8,3625.0,False,0.06
Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,2016,20000,First,1248,88.5,5.0,9.0,24.3,False,True,9,2222.22,False,0.1
Hyundai i20 Asta Option 1.2,Kochi,2016,61012,First,1197,81.83,5.0,6.0,18.6,True,True,9,6779.11,False,0.07
Skoda Fabia 1.4 MPI Ambiente,Jaipur,2009,87459,First,1390,85.0,5.0,2.75,14.7,True,True,16,5466.19,False,0.03
Tata Indigo eCS GLX,Pune,2010,70500,First,1193,64.1,5.0,1.5,15.64,True,True,15,4700.0,False,0.02
Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Delhi,2015,64103,First,1968,174.33,5.0,19.9,15.73,False,False,10,6410.3,True,0.11
Skoda Octavia Elegance 1.8 TSI AT,Mumbai,2014,76000,First,1798,177.5,5.0,10.0,14.7,True,False,11,6909.09,False,0.06
Toyota Etios Liva GD SP,Delhi,2014,104000,First,1364,67.06,5.0,3.0,23.59,False,True,11,9454.55,False,0.04
Mercedes-Benz B Class B180,Kochi,2014,37245,First,1595,120.7,5.0,11.96,14.8,True,False,11,3385.91,True,0.1
Honda Amaze S Diesel,Kolkata,2013,45000,First,1498,98.6,5.0,3.25,27.4,False,True,12,3750.0,False,0.03
Hyundai Verna 1.6 SX,Jaipur,2012,117837,Second,1582,126.32,5.0,4.75,22.32,False,True,13,9064.38,False,0.04
